Listing_URL,Address,Price,Bedroom,Bathroom,Sqft,Query_Zip_Code,Query_Miles,Longitude,Latitude,Query_Date
https://sfbay.craigslist.org/eby/apa/d/oakland-west-oakland-3bd-bath-pet/7691313498.html,"18th, oakland, CA 94607",2800,3,1,800,94607,1.0,-122.28248,37.811827,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7696100075.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279956,37.812137,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-experience-more-than-just/7697548717.html,"2262 Magnolia Street Unit B, Oakland, CA 94607",1500,0,1,220,94607,1.0,-122.285323,37.816465,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-nice-upper-apartment-unit/7696854709.html,"1128 16th St, Oakland, CA 94607",2650,3,1,1135,94607,1.0,-122.285299,37.811216,2023-16-12
https://sfbay.craigslist.org/sfc/apa/d/oakland-newly-renovated-house-close-to/7695386255.html,Unknown,1537,2,2,960,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-full-bath-plus-den/7687351198.html,"585 9th Street unit 315, Oakland, CA 94607",2800,2,2,1114,94607,1.0,-122.276959,37.80261,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7697492971.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-nest-thermostat-sq-ft-terrace/7697573229.html,"385 14th St, Oakland, CA 94612",3477,2,2,900,94607,1.0,-122.270159,37.804181,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-spacious-modern-living/7697555156.html,"1919 Market Street, Oakland, CA 94607",2667,3,2,1042,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-up-to-months-free-rooftop/7697838238.html,"1100 Webster Street, Oakland, CA 94607",2484,2,2,933,94607,1.0,-122.27058,37.801727,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-walkin-closet-large-bedroom/7697753470.html,"1100 Webster Street, Oakland, CA 94607",2441,1,1,681,94607,1.0,-122.27058,37.801727,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-real-live-work-space/7689784910.html,"2200 adeline, Oakland, CA 94607",2150,1,1,906,94607,1.0,-122.28369,37.815938,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-sunny-victorian-with-massive/7697261032.html,"16th, 94607, CA 94607",3195,2,1,1100,94607,1.0,-122.29418,37.813527,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-family-all-together/7697916831.html,"1919 Market Street, Oakland, CA 94607",2480,4,2,840,94607,1.0,-122.27927,37.811713,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7697570901.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-private-garden-studio-flexible/7696258003.html,"33rd street near West street, Oakland, CA 94607",1350,0,1,300,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-affordable-housing-community/7697417688.html,"550 24th Street, Oakland, CA 94612",1050,0,1,250,94607,1.0,-122.269894,37.813829,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-in-cozy-victorian/7698290924.html,Unknown,2246,2,1,1000,94607,1.0,-122.288494,37.807585,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-dont-wait-this-spacious-studio/7698112303.html,"518 7th Street Unit 09, Oakland, CA 94607",1513,0,1,340,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-gracious-904-sq-ft-apartment-in/7696842196.html,Unknown,2809,2,2,904,94607,1.0,-122.2851,37.8071,2023-16-12
